,Total Downloads Since First Tracked (USA),Total Revenue Since First Tracked (USA),Total Downloads Since First Tracked (Global),Total Revenue Since First Tracked (Global),"""USA Daily Active Users (Past 30 days)""","""USA Monthly Active Users (Past 30 days)""","""Global Daily Active Users (Past 30 days)""","""Global Monthly Active Users (Past 30 days)"""
Peak– Brain Training,"9,100,000","$4,900,000.00","29,100,000","$13,900,000","1,900,000","7,200,000","4,300,000","20,100,000"
Lumosity,"5,900,000","$10,900,000.00","11,700,000","$16,200,000","1,500,000","4,700,000","2,900,000","9,200,000"
Sleep Cycle alarm clock,"3,500,000","$5,100,000.00","13,700,000","$14,400,000","931,600","2,800,000","3,300,000","10,800,000"
Calm,"7,800,000","$21,600,000.00","15,700,000","$33,000,000","115,700","633,200","236,800","1,400,000"
Headspace,"6,400,000","$23,100,000.00","14,400,000","$40,900,000","93,100","563,300","212,800","1,300,000"
Breathe – Meditation & Sleep,"1,400,000","$1,500,000.00","2,200,000","$2,000,000","78,800","670,500","108,300","914,500"
BrainHQ,"291,200","$1,200,000.00","548,200","$1,500,000","68,400","231,700","112,000","419,200"
Relax Melodies: Sleep Sounds,"3,800,000","$1,100,000.00","8,900,000","$2,600,000","62,000","507,900","233,600","2,000,000"
Pacifica,"1,300,000","$791,600.00","2,500,000","$1,100,000","51,500","462,600","95,000","837,600"
White Noise Lite,"3,100,000",$0.00,"4,400,000",$0,"49,100","428,500","70,800","622,300"
Sleep Pillow Sounds: white noise machine app,"3,500,000","$643,900.00","4,600,000","$728,500.00","49,000","491,300","64,300","641,600"
Aura: Calm Anxiety & Sleep,"934,000","$423,400.00","1,400,000",559900,"38,300","277,000","55,300","403,000"
PTSD Coach,"111,300",$0.00,"130,500",$0,"31,700","87,700","36,000","102,600"
Sleep Time: Cycle Alarm Timer,"912,100","$80,800.00","2,900,000","$222,200.00","29,500","268,400","215,600","1,400,000"
Insight Timer,"1,700,000","$427,100.00","3,300,000","$756,500.00","26,600","215,000","50,800","409,200"
"Relax Meditation: Mindfulness, Sleep Sounds, Noise","1,100,000","$522,100.00","2,300,000","$1,000,000","24,900","228,000","90,500","743,300"
Pillow Automatic Sleep Tracker,"1,700,000","$701,000.00","4,300,000","$1,400,000","23,300","196,900","60,000","526,400"
Simple Habit - Meditation,"1,500,000","$1,900,000.00","2,200,000",2500000,"23,100","169,600","36,500","272,600"
"Stop, Breathe and Think","1,600,000","$778,500.00","3,000,000","$1,200,000","22,400","203,200","45,400","413,500"
Digipill: Guided meditation (Free),"452,400","$498,300.00","1,600,000","$1,300,000","20,900","189,900","145,300","895,300"
SleepBot - Smart Cycle Alarm with Motion & Sound Tracker,"737,000",$0.00,"1,700,000",$0,"19,200","172,100","65,500","583,200"
Moodtrack Social Diary,"259,900","$15,800.00","405,200",38800,"18,300","164,800","28,300","250,600"
Breathe2Relax,"454,200",$0.00,"768,400",$0,"16,700","149,700","32,700","283,100"
Sleep Better: Sleep Cycle App,"1,200,000","$195,400.00","9,900,000","$2,100,000","15,900","158,600","174,200","1,800,000"
7 Cups of Tea,"827,300","$169,000.00","1,500,000","$237,400.00","14,600","129,300","31,300","277,700"
Happify,"1,600,000","$2,200,000.00","2,100,000","$2,600,000","14,500","118,200","20,400","165,600"
ThinkUp: Positive Affirmations,"533,400","$170,300.00","628,700","$222,000","14,300","132,100","16,400","149,900"
Talkspace,"764,500",$0.00,"834,700",$0,"11,400","103,000","12,500","112,800"
